ShipmentID,GenericName,CargoUnit,OriginLocationName,OriginCountry,OriginPort,OriginPortCode,DestinationLocationName,DestinationCountry,DestinationPort,DestinationPortCode,Carrier,ModeOfTransport,SecondaryMode,ContainerNumber,BillOfLadingNumber,ETD,ETA,ATD,ATA,FreightTerms,CargoDescription,CargoWeight,CargoVolume,FreightCost,CustomsValue,TrackingNumber,TemperatureCategory,TemperatureRange,PackagingType,QualityRequirements,ComplianceRequirements,QualityMetrics,RiskCategory,InspectionFrequency,MonitoringLevel,InsuranceType,InsuranceCoverage,InsurancePremium,HandlingEquipmentCost,HandlingLaborCost,TotalHandlingCost,CarbonFootprint,CarbonFootprintUnit,RequiredDocuments
SHIP-83BF063E,Amoxicillin,g,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL54962,19-12-2022 21:00,24-12-2022 21:00,19-12-2022 21:00,25-12-2022 07:00,CIF,Pharmaceutical Raw Materials - Amoxicillin,95.66,0.45,3874.88,10667.15,ES2502119206197,CRT,20C to 35C,Pallet Box,"['ISO', 'GDP']","['MHRA', 'WHO']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.959579497947254}",HIGH,Daily,Continuous,Premium,12800.58,640.03,49.41,15.46,64.87,349.07,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-FE3A0275,Atorvastatin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL53765,31-05-2022 21:00,02-06-2022 21:00,31-05-2022 18:00,04-06-2022 04:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,38.76,0.22,1640.18,5232.69,LC2502112861244,CRT,15C to 25C,Cardboard Box,"['HACCP', 'ISO']","['EMA', 'MHRA']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9765558539021065}",HIGH,Daily,Continuous,Basic,4186.152,156.98,19.46,9.68,29.13,154.92,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-BEA23CC9,Aspirin,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL40728,19-05-2023 21:00,24-05-2023 21:00,19-05-2023 17:00,25-05-2023 22:00,CIF,Pharmaceutical Raw Materials - Aspirin,207.33,0.45,857.53,37117.91,XL2502113906086,CRT,20C to 35C,Pallet Box,"['ISO', 'HACCP']","['EMA', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9929867847958775}",LOW,Monthly,Standard,Standard,37117.91,1113.54,115.68,39.16,154.83,18.22,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D08D4A2E,Beta Interferon,mcg,Toronto Facility,Canada,,CATOR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL66951,19-11-2024 21:00,24-11-2024 21:00,20-11-2024 07:00,25-11-2024 01:00,CIF,Pharmaceutical Raw Materials - Beta Interferon,0.0,0.0,0.0,0.0,JH2502118973879,DFZ,-80C to -20C,Deep Freeze Container,"['GDP', 'ISO']","['WHO', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9597077347276909}",HIGH,Daily,Continuous,All-Risk,0.0,0.0,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-B6CD4AAE,Adalimumab,mg,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL99820,01-10-2023 21:00,05-10-2023 21:00,01-10-2023 19:00,06-10-2023 15:00,CIF,Pharmaceutical Raw Materials - Adalimumab,0.01,0.0,0.69,1.8,ES2502118878278,CRT,30C to 35C,Plastic Drum,"['ISO', 'HACCP']","['EMA', 'FDA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9573904186610219}",MEDIUM,Weekly,Enhanced,Basic,1.44,0.04,0.01,0.0,0.01,0.07,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-19E67B91,Ibuprofen,g,San Juan Facility,USA,,PRSJC,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL87730,16-06-2023 21:00,19-06-2023 21:00,16-06-2023 22:00,21-06-2023 00:00,DAP,Pharmaceutical Raw Materials - Ibuprofen,136.74,0.32,193.93,0.0,S2502114062363,CRT,30C to 35C,Plastic Drum,"['GDP', 'GMP']","['MHRA', 'WHO']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9888240497077151}",LOW,Monthly,Standard,Standard,193.93,5.82,69.06,25.88,94.93,7.41,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-47A503A9,Growth Hormone,IU,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL58507,24-09-2022 21:00,29-09-2022 21:00,25-09-2022 03:00,30-09-2022 15:00,CIF,Pharmaceutical Raw Materials - Growth Hormone,0.0,0.0,0.0,0.14,S2502115472461,REF,20C to 35C,Insulated Box,"['GMP', 'ISO']","['WHO', 'EMA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9845499566638634}",MEDIUM,Weekly,Enhanced,Premium,0.168,0.01,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-7CF6EABF,Atorvastatin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL48836,15-06-2022 21:00,18-06-2022 21:00,16-06-2022 01:00,18-06-2022 04:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,47.64,0.11,1816.96,2605.7,UA2502114869568,CRT,15C to 25C,Fiber Drum,"['GMP', 'ISO']","['FDA', 'WHO']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9961792067201136}",HIGH,Daily,Continuous,Premium,3126.84,156.34,20.48,9.94,30.42,173.79,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-2FC1F480,Albuterol,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL70089,26-05-2024 21:00,29-05-2024 21:00,27-05-2024 03:00,30-05-2024 09:00,CIF,Pharmaceutical Raw Materials - Albuterol,34.99,0.18,135.18,5711.85,WE2502117568210,CRT,15C to 25C,Cardboard Box,"['GDP', 'GMP']","['WHO', 'EMA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9514059840421466}",LOW,Monthly,Standard,Premium,6854.22,228.47,16.76,6.14,22.89,2.99,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-826F1F19,Paracetamol,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL69580,02-04-2022 21:00,06-04-2022 21:00,03-04-2022 02:00,07-04-2022 10:00,CIF,Pharmaceutical Raw Materials - Paracetamol,153.06,0.73,8316.82,22147.63,UA2502113287934,CRT,30C to 35C,Plastic Drum,"['GDP', 'ISO']","['WHO', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9655329084959744}",HIGH,Daily,Continuous,All-Risk,33221.445,1661.07,61.35,31.19,92.54,692.22,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-BEC04A5E,Sildenafil,g,Montreal Facility,Canada,,CAMTR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL39901,09-03-2022 21:00,16-03-2022 21:00,09-03-2022 17:00,17-03-2022 21:00,CIF,Pharmaceutical Raw Materials - Sildenafil,24.73,0.11,74.34,2265.46,XL2502114651578,CRT,30C to 35C,Plastic Drum,"['ISO', 'GMP']","['MHRA', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9533182867808591}",MEDIUM,Weekly,Enhanced,Standard,2265.46,81.56,12.09,3.84,15.92,1.68,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-7A6D453D,Atorvastatin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL20387,29-03-2023 21:00,01-04-2023 21:00,29-03-2023 18:00,02-04-2023 17:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,61.61,0.21,2739.05,10176.03,LC2502113666821,CRT,15C to 25C,Fiber Drum,"['GMP', 'HACCP']","['WHO', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9644358428067059}",MEDIUM,Weekly,Enhanced,Premium,12211.236,488.45,34.88,12.87,47.76,233.62,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-64A7DEBD,Metformin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL40405,30-08-2023 21:00,04-09-2023 21:00,30-08-2023 22:00,06-09-2023 02:00,CIF,Pharmaceutical Raw Materials - Metformin,174.17,0.67,7104.01,22299.27,ES2502116715912,CRT,15C to 25C,Fiber Drum,"['GDP', 'ISO']","['MHRA', 'FDA']","{'temperature_excursions': 3, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9917695889481268}",MEDIUM,Weekly,Enhanced,Premium,26759.124,1070.36,102.93,35.36,138.29,682.55,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-79A92C35,Metformin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL11464,06-02-2025 21:00,09-02-2025 21:00,06-02-2025 19:00,09-02-2025 16:00,CIF,Pharmaceutical Raw Materials - Metformin,262.37,0.56,13193.02,43103.46,UA2502118131520,CRT,15C to 25C,Cardboard Box,"['ISO', 'GDP']","['WHO', 'FDA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9587240511416825}",MEDIUM,Weekly,Enhanced,All-Risk,64655.19,2586.21,145.21,46.83,192.04,1108.51,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-23B1B574,Growth Hormone,IU,Toronto Facility,Canada,,CATOR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL72105,29-03-2023 21:00,03-04-2023 21:00,29-03-2023 14:00,04-04-2023 03:00,CIF,Pharmaceutical Raw Materials - Growth Hormone,0.0,0.0,0.0,0.16,S2502117909511,REF,20C to 35C,Insulated Box,"['ISO', 'GMP']","['MHRA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9886428679052011}",MEDIUM,Weekly,Enhanced,Premium,0.192,0.01,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-4C3C8529,Lisinopril,g,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL89853,08-11-2023 21:00,11-11-2023 21:00,08-11-2023 19:00,12-11-2023 10:00,CIF,Pharmaceutical Raw Materials - Lisinopril,87.23,0.2,3615.82,10476.96,DA2502111179825,CRT,15C to 25C,Fiber Drum,"['GDP', 'GMP']","['EMA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.978903945389885}",LOW,Monthly,Standard,Basic,8381.568,209.54,46.43,16.21,62.63,317.57,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D8D1BE24,Atorvastatin,g,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL35037,17-04-2022 21:00,21-04-2022 21:00,18-04-2022 02:00,22-04-2022 21:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,49.68,0.23,1838.04,9430.4,DA2502112037435,CRT,20C to 35C,Pallet Box,"['GMP', 'ISO']","['EMA', 'WHO']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9969485089097014}",MEDIUM,Weekly,Enhanced,Standard,9430.4,339.49,23.3,10.72,34.01,169.7,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-EF92603E,Ibuprofen,g,Philadelphia Facility,USA,,USPHL,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL81481,10-07-2024 21:00,12-07-2024 21:00,11-07-2024 03:00,12-07-2024 15:00,DAP,Pharmaceutical Raw Materials - Ibuprofen,229.44,0.58,373.11,0.0,WE2502116950748,CRT,30C to 35C,Plastic Drum,"['GDP', 'ISO']","['EMA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9533452990124635}",LOW,Monthly,Standard,Premium,447.732,14.92,113.91,50.58,164.49,14.1,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-096A1046,Paracetamol,g,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL41507,16-09-2024 21:00,19-09-2024 21:00,16-09-2024 14:00,20-09-2024 11:00,CIF,Pharmaceutical Raw Materials - Paracetamol,197.18,0.82,7958.74,11795.01,LC2502118271539,CRT,15C to 25C,Fiber Drum,"['GDP', 'GMP']","['FDA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9526273573720734}",LOW,Monthly,Standard,All-Risk,17692.515,589.75,106.83,34.83,141.66,796.98,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-57BA4739,Ciprofloxacin,g,Montreal Facility,Canada,,CAMTR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,YRC Freight,road,,,BOL76365,22-05-2022 21:00,27-05-2022 21:00,22-05-2022 18:00,27-05-2022 04:00,CIF,Pharmaceutical Raw Materials - Ciprofloxacin,107.81,0.4,287.47,9004.83,YF2502118795648,CRT,15C to 25C,Fiber Drum,"['GMP', 'GDP']","['FDA', 'MHRA']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.972964097824195}",MEDIUM,Weekly,Enhanced,Premium,10805.796,432.23,53.47,26.5,79.97,6.78,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D0B05FD7,Paracetamol,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL97992,06-06-2023 21:00,09-06-2023 21:00,07-06-2023 02:00,09-06-2023 04:00,CIF,Pharmaceutical Raw Materials - Paracetamol,150.21,0.61,598.08,18797.17,XL2502114271506,CRT,15C to 25C,Cardboard Box,"['GDP', 'HACCP']","['WHO', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9720877937834459}",HIGH,Daily,Continuous,Premium,22556.604,1127.83,78.28,32.64,110.93,13.26,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-68A3049C,Amoxicillin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL35299,12-09-2022 21:00,16-09-2022 21:00,13-09-2022 04:00,16-09-2022 04:00,CIF,Pharmaceutical Raw Materials - Amoxicillin,133.39,0.66,6280.97,20974.74,ES2502117299133,CRT,15C to 25C,Fiber Drum,"['GDP', 'GMP']","['EMA', 'FDA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.975225764508758}",HIGH,Daily,Continuous,All-Risk,31462.11,1573.11,77.4,32.18,109.58,545.99,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
